2019-10-11 12:00,1.10542,1.10626,1.10255,1.10389,78945
2019-10-11 16:00,1.10388,1.10516,1.10308,1.10404,38077
2019-10-11 20:00,1.10403,1.10403,1.10326,1.10329,2879
2019-10-13 20:00,1.10316,1.10385,1.1025,1.10282,6679
2019-10-14 00:00,1.10281,1.10318,1.10241,1.10312,18072
2019-10-14 04:00,1.1031,1.10353,1.10128,1.1018,33262
2019-10-14 08:00,1.1018,1.10426,1.10158,1.10272,37978
2019-10-14 12:00,1.10273,1.10319,1.10176,1.10264,41026
2019-10-14 16:00,1.10263,1.10325,1.10232,1.10252,16248
2019-10-14 20:00,1.10252,1.1029,1.10226,1.10259,8861
2019-10-15 00:00,1.10258,1.10323,1.10214,1.1032,17074
2019-10-15 04:00,1.1032,1.10459,1.10126,1.10207,40358
2019-10-15 08:00,1.10206,1.10305,1.10025,1.10057,59404
2019-10-15 12:00,1.10058,1.10445,1.09912,1.10352,72547
2019-10-15 16:00,1.10352,1.10381,1.10153,1.10341,26843
2019-10-15 20:00,1.1034,1.10352,1.10266,1.10344,7091
2019-10-16 00:00,1.10344,1.10344,1.10238,1.10307,21189
2019-10-16 04:00,1.10308,1.10599,1.10286,1.10349,44194
2019-10-16 08:00,1.10351,1.1047,1.10223,1.10266,62353
2019-10-16 12:00,1.10268,1.10771,1.10229,1.10745,70676
2019-10-16 16:00,1.10746,1.10855,1.10647,1.10748,28266
2019-10-16 20:00,1.10747,1.10773,1.10709,1.10737,6014
2019-10-17 00:00,1.10738,1.10846,1.10729,1.10774,18043
2019-10-17 04:00,1.10773,1.10864,1.1065,1.10777,30582
2019-10-17 08:00,1.10777,1.11398,1.10721,1.11157,78071
2019-10-17 12:00,1.11158,1.11302,1.11014,1.11288,65052
2019-10-17 16:00,1.11287,1.11322,1.11203,1.11245,24505
2019-10-17 20:00,1.11249,1.11283,1.11228,1.11244,7363
2019-10-18 00:00,1.11245,1.11308,1.11212,1.11273,16892
2019-10-18 04:00,1.11273,1.11287,1.11145,1.1124,29935
2019-10-18 08:00,1.1124,1.11465,1.11212,1.1143,33149
2019-10-18 12:00,1.1143,1.11591,1.11351,1.11547,35109
2019-10-18 16:00,1.11546,1.11661,1.11464,1.11617,21950
2019-10-18 20:00,1.11617,1.11719,1.11612,1.11703,3591
2019-10-20 20:00,1.11607,1.11634,1.11494,1.11558,6314
2019-10-21 00:00,1.11559,1.11633,1.11542,1.11598,9401
2019-10-21 04:00,1.11599,1.11668,1.11495,1.11642,23341
2019-10-21 08:00,1.11643,1.11793,1.11607,1.11682,32258
2019-10-21 12:00,1.1168,1.11737,1.11386,1.11447,36940
2019-10-21 16:00,1.11448,1.11566,1.11446,1.11494,17382
